rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,apple.com,Information Technology;Technology
4,gstatic.com,Content Servers
5,cloudflare.com,Technology
6,microsoft.com,Information Technology;Business
7,facebook.com,Social Networks
8,amazonaws.com,Technology
9,googlevideo.com,Search Engines;Video Streaming
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,fbcdn.net,Social Networks
12,doubleclick.net,Advertisements
13,youtube.com,Video Streaming
14,amazon.com,Ecommerce
15,instagram.com,Social Networks
16,icloud.com,File Sharing;Content Servers
17,googleusercontent.com,Content Servers
18,akadns.net,Content Servers
19,live.com,Technology;Webmail
20,tiktokcdn.com,Content Servers;Social Networks
21,ntp.org,Technology;Government/Legal
22,googlesyndication.com,Search Engines;Advertisements
23,bing.com,Search Engines
24,apple-dns.net,Content Servers
25,gvt2.com,Content Servers
26,netflix.com,Movies;Video Streaming
27,cloudfront.net,Content Servers;Science;Technology
28,akamai.net,Content Servers
29,tiktokv.com,Social Networks;Video Streaming
30,aaplimg.com,Information Technology;Content Servers;Technology
31,cloudflare-dns.com,Content Servers
32,ytimg.com,Content Servers
33,yahoo.com,News & Media
34,spotify.com,Audio Streaming
35,akamaiedge.net,Content Servers
36,office.com,Business
37,cdninstagram.com,Content Servers
38,ui.com,Technology
39,gvt1.com,Content Servers
40,samsung.com,Home & Garden;Technology
41,dns.google,Information Technology
42,googleadservices.com,Advertisements
43,one.one,Information Technology
44,msn.com,News & Media
45,google-analytics.com,Business;Technology
46,app-analytics-services.com,Content Servers
47,msftncsi.com,Content Servers
48,googletagmanager.com,Content Servers
49,wikipedia.org,Education;Reference
50,snapchat.com,Photography;Social Networks
51,trafficmanager.net,Information Technology;Content Servers
52,amazon-adsystem.com,Advertisements
53,criteo.com,Business
54,azure.com,Technology
55,app-measurement.com,APIs
56,roblox.com,Gaming;Safe for Kids
57,fastly.net,Information Security;Information Technology;Technology
58,3gppnetwork.org,Content Servers
59,applovin.com,Business;Technology
60,steamserver.net,Content Servers
61,unity3d.com,Gaming;Technology
62,sentry.io,Business
63,a2z.com,Content Servers
64,linkedin.com,Professional Networking
65,appsflyersdk.com,Content Servers;APIs
66,ggpht.com,Content Servers
67,rubiconproject.com,Business;Technology
68,microsoftonline.com,Technology
69,windows.com,Information Technology
70,office.net,Content Servers
71,baidu.com,Search Engines
72,skype.com,Instant Messengers;Internet Phone & VOIP
73,windows.net,Technology
74,capcutapi.com,Content Servers
75,tiktokcdn-us.com,Content Servers
76,xiaomi.com,Technology
77,adnxs.com,Content Servers
78,taboola.com,Business;Advertisements
79,windowsupdate.com,Information Technology;Business
80,whatsapp.com,Instant Messengers;Internet Phone & VOIP
81,digicert.com,Information Security
82,doubleverify.com,Business;Technology
83,sharepoint.com,File Sharing;Technology
84,office365.com,Technology
85,gmail.com,Webmail
86,android.com,Technology
87,cdn-apple.com,Content Servers
88,vungle.com,Business;Technology
89,pubmatic.com,Business;Technology
90,rbxcdn.com,Content Servers
91,casalemedia.com,Business;Technology
92,qq.com,News & Media
93,msftconnecttest.com,Content Servers
94,amazon.dev,Content Servers
95,cdn77.org,Content Servers
96,clarity.ms,Content Servers
97,miui.com,Technology
98,zoom.us,Technology
99,adtrafficquality.google,Information Security
100,adsrvr.org,Advertisements
